Experiment,Description,Mean tok/s,Stdev tok/s,CV%,Min tok/s,Max tok/s,All values,Speedup vs exp_00
exp_00,OG baseline: BF16 BS=16 no-quant no-sort. Reference for all deltas.,1017.02,4.38,0.4%,1011.81,1021.69,"1011.81,1015.24,1019.34,1021.69",-
exp_01,+quantization=fp8 only. All else=baseline.,1328.08,2.55,0.2%,1324.84,1330.22,"1324.84,1330.00,1327.26,1330.22",+30.59%
exp_02,+batch_size=512 only. No quant, no sort, all else=baseline.,1984.85,4.37,0.2%,1981.81,1991.28,"1991.28,1982.50,1983.82,1981.81",+95.16%
exp_03,+batch_size=1024 only. No quant, no sort, all else=baseline.,2153.72,58.26,2.7%,2073.42,2197.75,"2073.42,2148.03,2195.70,2197.75",+111.77%
exp_04,+max_model_len=2668 only. No quant, no sort, all else=baseline.,1035.81,8.85,0.9%,1023.95,1042.92,"1042.92,1042.20,1034.16,1023.95",+1.85%
exp_05,+sort_by_input_length only. No quant, no KV resize, all else=baseline.,1030.49,1.32,0.1%,1028.75,1031.64,"1031.64,1031.36,1028.75,1030.20",+1.32%
exp_06,+gpu_mem_util=0.95 only. All else=baseline.,FAILED,-,-,-,-,-,-
exp_07,+chunked_prefill=True + max_num_batched_tokens=65536. All else=baseline.,FAILED,-,-,-,-,-,-
exp_08,+PYTORCH_CUDA_ALLOC_CONF=expandable_segments only. All else=baseline.,1037.76,3.46,0.3%,1033.13,1040.74,"1040.04,1040.74,1037.13,1033.13",+2.04%
exp_09,prefix_caching=False explicit (control). Expected: ~=baseline.,1014.30,5.26,0.5%,1011.03,1022.15,"1011.03,1011.62,1012.41,1022.15",-0.27%
exp_10,+async_scheduling=True only [vLLM 0.10.0]. All else=baseline.,1024.95,8.79,0.9%,1015.70,1036.52,"1015.70,1021.58,1026.02,1036.52",+0.78%
exp_11,+num_scheduler_steps=2 only [vLLM 0.10.0]. All else=baseline.,997.02,5.80,0.6%,990.34,1004.20,"1004.20,998.30,995.23,990.34",-1.97%
exp_12,+num_scheduler_steps=4 only [vLLM 0.10.0]. All else=baseline.,1019.53,6.05,0.6%,1012.25,1025.97,"1012.25,1017.22,1025.97,1022.68",+0.25%
exp_13,+compilation_config=3 only [vLLM 0.10.0]. All else=baseline.,1030.36,5.47,0.5%,1026.01,1038.22,"1027.37,1026.01,1029.85,1038.22",+1.31%
exp_14,+VLLM_ATTENTION_BACKEND=FLASHINFER only [vLLM 0.10.0]. All else=baseline.,958.22,10.18,1.1%,943.07,964.62,"943.07,961.64,963.54,964.62",-5.78%
