experiment,batch_size,dtype,tokens_per_sec,samples_per_sec,valid,exit_code,duration_s,min_latency_s,max_latency_s,mean_latency_s,p50_latency_s,p90_latency_s,p95_latency_s,p97_latency_s,p99_latency_s,p99.9_latency_s,description
exp_00b,16,bfloat16,1165.24,9.10343,VALID,0,1495,1.834256683,1468.459907601,734.27324792,732.464732301,1321.193115726,1394.59467572,1424.801760916,1454.758018758,1467.047549182,RIGHT-SIZED KV: max_model_len=2668 on production baseline
exp_00,16,bfloat16,1082.82,8.45952,VALID,0,1607,1.969541284,1580.230629971,790.330631796,788.569896185,1421.922558424,1500.79728025,1533.279271343,1565.490587521,1578.710792757,"PRODUCTION BASELINE: stock vLLM V1 defaults, BS=16"
exp_01,16,bfloat16,1048.73,8.19320,VALID,0,1660,2.034344488,1631.63381135,815.929526295,813.922250885,1468.026057037,1549.550813233,1583.144993357,1616.401691934,1630.066235773,-prefix_caching=False (disable V1 default APC)
exp_02,16,bfloat16,1006.82,7.86577,VALID,0,1726,2.118212484,1699.514640894,849.988890488,848.095245413,1529.25665433,1614.085249598,1649.019149992,1683.661943524,1697.880078477,-async_output_proc OFF (disable V1 default async)
exp_03,16,bfloat16,1062.58,8.30140,VALID,0,1637,2.025924896,1610.33285656,811.859155537,810.466063274,1450.364874412,1530.060880241,1562.884104261,1595.436420435,1608.791438854,compilation_config=O1 (below V1 default O2)
exp_04,16,bfloat16,857.43,6.69866,VALID,0,2022,2.547178377,1995.611980414,998.091724899,995.698953579,1795.649623688,1895.277616861,1936.29886608,1976.982221847,1993.685252656,compilation_config=O0 (no compile vs V1 default O2)
exp_05,16,bfloat16,1098.13,8.57913,VALID,0,1585,1.946116414,1558.194016122,778.748114229,776.69472091,1401.615266096,1479.639537363,1511.749374115,1543.603926947,1556.691810811,compilation_config=O3 (above V1 default O2)
exp_06,16,bfloat16,1063.47,8.30835,VALID,0,1635,2.000521892,1608.988798297,804.734667415,802.835512522,1447.759059532,1528.092378913,1561.177522734,1593.97935477,1607.444448274,max_num_batched_tokens=2668 (neutralise chunked prefill)
exp_07,16,bfloat16,1115.30,8.71327,VALID,0,1561,1.915581535,1534.206113402,767.263211121,765.398286657,1380.469963428,1457.056458668,1488.595705847,1519.894300943,1532.728683475,async_scheduling=True (experimental)
exp_08,16,bfloat16,1120.72,8.75561,VALID,0,1553,1.901381726,1526.79059782,763.434287603,761.501162494,1373.759959544,1449.998009662,1481.390942799,1512.53822571,1525.319017475,max_num_batched_tokens=8192
exp_09,16,bfloat16,1089.07,8.50835,VALID,0,1598,1.954613108,1571.163644002,785.633988318,783.663910259,1413.822482381,1492.228174093,1524.480618246,1556.479938197,1569.65051447,max_num_batched_tokens=65536
exp_10,16,bfloat16,1456.36,11.3778,VALID,0,1222,1.461854085,1174.918448136,587.471597858,586.025833696,1057.062646103,1115.815191888,1139.944795178,1163.914292867,1173.769912767,quantization=fp8 weight only
exp_11,16,bfloat16,1131.84,8.84249,VALID,0,1538,1.889313254,1511.782901771,756.093936451,754.215543922,1360.288775126,1435.737300396,1466.850005172,1497.678793899,1510.328347708,kv_cache_dtype=fp8 KV only
exp_12,16,bfloat16,1277.73,9.98225,VALID,0,1366,1.669099647,1339.175984554,669.770463807,668.278317787,1205.016853883,1271.859712928,1299.386772319,1326.684446619,1337.887989335,fp8 weights + fp8 KV
exp_13,1024,bfloat16,2302.79,17.9905,VALID,0,770,53.858797495,743.058316678,396.120860854,392.901774861,682.281605029,738.937348169,738.937792532,738.938214145,743.058287101,+batch_size=1024
exp_14,2048,bfloat16,2379.46,18.5895,VALID,0,746,108.847594476,719.115905032,409.52151423,435.601648053,659.211415554,719.114877368,719.115303582,719.115703293,719.115886288,+batch_size=2048
exp_15,16,bfloat16,1115.30,8.71327,VALID,0,1561,1.291234674,1534.211816037,685.172929273,651.361992207,1314.203787513,1417.599525198,1462.61438111,1510.671826112,1531.982503565,sort_by_input_length
exp_16,16,bfloat16,1104.48,8.62874,VALID,0,1576,1.931927169,1549.246610674,774.944832372,772.991094544,1394.114775994,1471.347616127,1503.175414533,1534.776433047,1547.757129618,gpu_memory_utilization=0.95
exp_17,16,bfloat16,1081.93,8.45257,VALID,0,1608,1.960802266,1581.524261514,790.949058306,788.921584501,1422.938345648,1501.958421486,1534.54082734,1566.820313483,1580.035400807,attention_backend=FLASHINFER
exp_18,16,bfloat16,1083.77,8.46692,VALID,0,1605,1.970492685,1578.849846778,789.515765702,787.669985189,1420.73037094,1499.497099992,1531.930470765,1564.115971001,1577.329951507,skip_tokenizer_init=True
